Coach,Win Percent,Season,Record,Team,Sport
Nicole Annaloro,.172,2011-12,5-24,Notre Dame de Namur,Womens Volleyball
Nicole Annaloro,.040,2012-13,1-24,Notre Dame de Namur,Womens Volleyball
Nicole Annaloro,.207,2013-14,6-23,Notre Dame de Namur,Womens Volleyball
Tom Godek,.182,2014-15,2-9,Southern Conn. St.,Football
Danny Miller,.542,1969-70,13-11,Idaho St.,Mens Basketball
Phil Sykes,.000,2015-16,0-0,Albany (NY),Field Hockey
Mark Matlak,.100,2014-15,1-9,Allegheny,Football
Mark Matlak,.000,2013-14,0-10,Allegheny,Football
Amy Zombeck,.857,2012-13,18-3,UMass Boston,Womens Soccer
Graham Kennett,.139,2014-15,2-15-1,Manhattanville,Womens Soccer
Lindsay Birch,.000,2015-16,0-0,Chris. Newport,Womens Volleyball
Lindsay Birch,.895,2014-15,34-4,Chris. Newport,Womens Volleyball
Mark Matlak,.391,1979-80,9-14,Allegheny,Baseball
Mark Matlak,.632,1978-79,12-7,Allegheny,Baseball
Mark Matlak,.348,1981-82,8-15,Allegheny,Baseball
Mark Matlak,.333,1980-81,7-14,Allegheny,Baseball
Mark Matlak,.500,2012-13,5-5,Allegheny,Football
Mark Matlak,.500,2011-12,5-5,Allegheny,Football
Danny Miller,.595,2014-15,22-15,Averett,Womens Volleyball
Kelly Tyrrell,.676,2014-15,11-5-1,Dickinson,Womens Soccer
Danny Miller,.694,2012-13,25-11,Averett,Womens Volleyball
Beth Riley,.312,2013-14,5-11,Bryn Mawr,Field Hockey
Beth Riley,.125,2014-15,2-14,Bryn Mawr,Field Hockey
Craig Skinner,.710,2013-14,22-9,Kentucky,Womens Volleyball
Jim Rendle,.000,2015-16,0-0,Eastern Nazarene,Womens Volleyball
Jessica Spencer (King),.500,2011-12,9-9,Bentley,Field Hockey
Jim Rendle,.469,2013-14,15-17,Eastern Nazarene,Womens Volleyball
Jim Rendle,.103,2014-15,3-26,Eastern Nazarene,Womens Volleyball
Jessica Spencer (King),.526,2014-15,10-9,Bentley,Field Hockey
Jessica Spencer (King),.000,2015-16,0-0,Bentley,Field Hockey
Jessica Spencer (King),.579,2012-13,11-8,Bentley,Field Hockey
Jessica Spencer (King),.579,2013-14,11-8,Bentley,Field Hockey
Johan Dulfer,.837,2013-14,36-7,Clarkson,Womens Volleyball
Ryan Anatol,.382,2013-14,6-10-1,Stony Brook,Mens Soccer
Johan Dulfer,.816,2012-13,31-7,Clarkson,Womens Volleyball
Kelly Rifilato,.357,2013-14,10-18,Fort Lewis,Womens Volleyball
Ali Oliver,.067,2014-15,1-14,Holy Names,Mens Volleyball
Ali Oliver,.000,2015-16,0-0,Holy Names,Womens Volleyball
Ali Oliver,.077,2014-15,2-24,Holy Names,Womens Volleyball
Rich Manning,.525,2011-12,10-9-1,Utah,Womens Soccer
Rich Manning,.500,2012-13,8-8-3,Utah,Womens Soccer
Charlene Morett,.727,2014-15,16-6,Penn St.,Field Hockey
Charlene Morett,.000,2015-16,0-0,Penn St.,Field Hockey
Rich Manning,.000,2015-16,0-0,Utah,Womens Soccer
Matt Mumme,of,2013-14,games,LaGrange 2-1 .667  Coached final 3,Football
Rich Manning,.619,2013-14,10-5-6,Utah,Womens Soccer
Rich Manning,.500,2014-15,8-8-4,Utah,Womens Soccer
Mick Statham,.000,2015-16,0-0,Lafayette,Womens Soccer
Mick Statham,.324,2014-15,5-11-1,Lafayette,Womens Soccer
Matt Mumme,.500,2014-15,5-5,LaGrange,Football
Matt Mumme,.000,2015-16,0-0,LaGrange,Football
Sherry Dunbar,.469,2014-15,15-17,Indiana,Womens Volleyball
Sherry Dunbar,.290,2013-14,9-22,Indiana,Womens Volleyball
Joel Dettwiler,.400,2012-13,4-6,Wis.-La Crosse,Football
Joel Dettwiler,.300,2013-14,3-7,Wis.-La Crosse,Football
Travers Evans,.556,2012-13,10-8,Maine Maritime,Mens Soccer
Travers Evans,.694,2013-14,11-4-3,Maine Maritime,Mens Soccer
Travers Evans,.500,2014-15,8-8-1,Maine Maritime,Mens Soccer
Travers Evans,.000,2015-16,0-0,Maine Maritime,Mens Soccer
Travers Evans,.353,2008-09,5-10-2,Maine Maritime,Womens Soccer
Travers Evans,.583,2009-10,10-7-1,Maine Maritime,Womens Soccer
Travers Evans,.333,2010-11,4-9-2,Maine Maritime,Womens Soccer
Travers Evans,.000,2011-12,0-15,Maine Maritime,Womens Soccer
Travers Evans,.382,2012-13,5-9-3,Maine Maritime,Womens Soccer
Willy Merrick,.583,2011-12,9-6-3,Ohio Dominican,Mens Soccer
Jim Stone,.632,2013-14,12-7,Bemidji St.,Womens Soccer
Jim Stone,.579,2012-13,10-7-2,Bemidji St.,Womens Soccer
Jim Stone,.000,2015-16,0-0,Bemidji St.,Womens Soccer
Jim Stone,.500,2014-15,9-9-1,Bemidji St.,Womens Soccer
Jim Stone,.882,2004-05,30-4,Ohio St.,Womens Volleyball
Jim Stone,.393,2003-04,11-17,Ohio St.,Womens Volleyball
Jacque DeMarco,.444,2012-13,8-10,Kenyon,Field Hockey
Jim Stone,.710,2005-06,22-9,Ohio St.,Womens Volleyball
Jim Stone,.062,1959-60,0-7-1,Elmhurst,Football
Craig Roberts,.735,1984-85,12-4-1,New Mexico,Mens Soccer
Nagy Abdelrazek,.730,2012-13,27-10,Catholic,Womens Volleyball
Nagy Abdelrazek,.605,2013-14,23-15,Catholic,Womens Volleyball
Tom Godek,.000,2015-16,0-0,Southern Conn. St.,Football
Johan Dulfer,.902,2014-15,37-4,Clarkson,Womens Volleyball
Scott Frey,.000,2015-16,0-0,Messiah,Womens Soccer
Paul Hogan,.526,2012-13,10-9,Coastal Caro.,Womens Soccer
Lauren Lukis,.389,2011-12,6-10-2,Bentley,Womens Soccer
Lauren Lukis,.353,2012-13,4-9-4,Bentley,Womens Soccer
Dennis Miller,.700,2014-15,7-3,Wis. Lutheran,Football
Sara Myers,.500,2014-15,9-9,Wilkes,Field Hockey
Sara Myers,.000,2015-16,0-0,Wilkes,Field Hockey
Sara Myers,.818,2008-09,18-4,Wilkes,Field Hockey
Sara Myers,.789,2009-10,15-4,Wilkes,Field Hockey
Brian Dunleavy,.632,2014-15,11-6-2,Ga. Southern,Womens Soccer
Brian Dunleavy,.000,2015-16,0-0,Ga. Southern,Womens Soccer
Brian Dunleavy,.118,2008-09,2-15,Mt. St. Vincent,Mens Soccer
Brian Dunleavy,.333,2013-14,5-11-2,Ga. Southern,Womens Soccer
Patrick Johnston,.684,2014-15,13-6,Sewanee,Womens Soccer
Nagy Abdelrazek,.611,2014-15,22-14,Catholic,Womens Volleyball
Chris Catanach,.941,2013-14,32-2,Tampa,Womens Volleyball
Nagy Abdelrazek,.000,2015-16,0-0,Catholic,Womens Volleyball
Bill Garno,.528,2013-14,8-7-3,RIT,Mens Soccer
Chris Campbell,.450,2013-14,18-22,Transylvania,Baseball
Craig Stewart,.000,2015-16,0-0,Providence,Mens Soccer
Jillian Sauer,.000,2015-16,0-0,Marian (WI),Womens Soccer
Chris Villarrial,.182,2011-12,2-9,Saint Francis (PA),Football
Chris Catanach,.889,2012-13,32-4,Tampa,Womens Volleyball
Dan Mullen,.769,2014-15,10-3,Mississippi St.,Football
Dan Mullen,.000,2015-16,0-0,Mississippi St.,Football
Neil Macdonald,.395,2011-12,6-10-3,Mississippi St.,Womens Soccer
Neil Macdonald,.475,2012-13,9-10-1,Mississippi St.,Womens Soccer
Neil Macdonald,.263,2013-14,4-13-2,Jacksonville St.,Womens Soccer
Neil Macdonald,.523,2014-15,11-10-,Jacksonville St.,Womens Soccer
Neil Macdonald,.000,2015-16,0-0,Jacksonville St.,Womens Soccer
Jillian Sauer,.526,2014-15,10-9,Marian (WI),Womens Soccer
Bill Garno,.000,2015-16,0-0,RIT,Mens Soccer
Chris Campbell,.526,2012-13,20-18,Transylvania,Baseball
Tim Loesch,.000,2015-16,0-0,Tex. Permian Basin,Womens Volleyball
Tim Moody,.000,2015-16,0-0,Roger Williams,Womens Soccer
Tim Moody,.800,2004-05,4-1,Keuka,Womens Lacrosse
Ryan Anatol,.000,2015-16,0-0,Stony Brook,Mens Soccer
Tim Moody,.714,2005-06,5-2,Keuka,Womens Lacrosse
Jeremy Cameron,.556,2011-12,5-4,Mass. Maritime,Football
Tim Moody,.659,2011-12,14-7-1,Roger Williams,Womens Soccer
Tim Moody,.614,2012-13,12-7-3,Roger Williams,Womens Soccer
Tim Moody,.812,2013-14,18-3-3,Roger Williams,Womens Soccer
Ryan Anatol,.263,2014-15,4-13-2,Stony Brook,Mens Soccer
Tim Moody,.808,2014-15,19-3-4,Roger Williams,Womens Soccer
Tony Setzer,.206,2014-15,3-13-1,Gardner-Webb,Mens Soccer
Greg Debeljak,.000,2015-16,0-0,CWRU,Football
Luigi Scire,.658,2011-12,12-6-1,Webster,Womens Soccer
Luigi Scire,.727,2012-13,16-6,Webster,Womens Soccer
Paul Koelpin,.167,2012-13,3-15,Martin Luther,Mens Soccer
Paul Koelpin,.263,2013-14,5-14,Martin Luther,Mens Soccer
Paul Koelpin,.353,2014-15,6-11,Martin Luther,Mens Soccer
Paul Koelpin,.000,2015-16,0-0,Martin Luther,Mens Soccer
Frank Davies,.132,2013-14,1-15-3,Alabama A&M,Womens Soccer
Frank Davies,.250,2014-15,3-13-4,Alabama A&M,Womens Soccer
Frank Davies,.000,2015-16,0-0,Alabama A&M,Womens Soccer
Paul Koelpin,.222,2011-12,4-14,Martin Luther,Mens Soccer
Tom Black,.467,2011-12,14-16,Loyola Marymount,Womens Volleyball
Tom Black,.581,2012-13,18-13,Loyola Marymount,Womens Volleyball
Tom Black,.500,2013-14,14-14,Loyola Marymount,Womens Volleyball
Tom Black,.742,2014-15,23-8,Loyola Marymount,Womens Volleyball
Kristan Mallet,.564,2010-11,22-17,Nichols,Softball
Kristan Mallet,.429,2011-12,15-20,Nichols,Softball
Kristan Mallet,.147,2012-13,5-29,Nichols,Softball
Kristan Mallet,.364,2013-14,12-21,Nichols,Softball
Tom Black,.000,2015-16,0-0,Loyola Marymount,Womens Volleyball
Tom Black,.516,2010-11,16-15,Morrisville St.,Softball
Jeff Panik,.441,2012-13,7-9-1,Hilbert,Mens Soccer
Peter Albright,.472,2012-13,8-9-1,Richmond,Womens Soccer
Peter Albright,.417,2013-14,6-9-3,Richmond,Womens Soccer
Valerie Jones,.143,2007-08,4-24,Kennesaw St.,Womens Volleyball
Valerie Jones,.200,2008-09,6-24,Kennesaw St.,Womens Volleyball
Larry Coker,.583,2013-14,7-5,UTSA,Football
Larry Coker,.000,2015-16,0-0,UTSA,Football
Valerie Jones,.000,2015-16,0-0,South Carolina St.,Womens Volleyball
Peter Albright,.690,2011-12,13-5-3,Richmond,Womens Soccer
Valerie Jones,.214,2013-14,6-22,South Carolina St.,Womens Volleyball
Valerie Jones,.111,2014-15,3-24,South Carolina St.,Womens Volleyball
Nancy Stevens,.870,2014-15,20-3,UConn,Field Hockey
Jason Burr,.475,2004-05,9-10-1,Thomas More,Mens Soccer
Amy Fowler,.412,2013-14,7-10,Dartmouth,Field Hockey
Amy Fowler,.647,2012-13,11-6,Dartmouth,Field Hockey
Amy Fowler,.588,2011-12,10-7,Dartmouth,Field Hockey
Mark Farley,.000,2015-16,0-0,UNI,Football
Nancy Stevens,.864,2012-13,19-3,UConn,Field Hockey
Nancy Stevens,.864,2011-12,19-3,UConn,Field Hockey
Amy Fowler,.000,2015-16,0-0,Dartmouth,Field Hockey
Amy Fowler,.294,2014-15,5-12,Dartmouth,Field Hockey
Lee Hull,.538,2014-15,7-6,Morgan St.,Football
Lee Hull,.000,2015-16,0-0,Morgan St.,Football
Chase Wooten,.000,2015-16,0-0,Northeastern St.,Womens Soccer
Carolyn Condit,.500,2011-12,16-16,Miami (OH),Womens Volleyball
Chase Wooten,.789,2013-14,15-4,Northeastern St.,Womens Soccer
Chase Wooten,.421,2014-15,8-11,Northeastern St.,Womens Soccer
Carolyn Condit,.677,2014-15,21-10,Miami (OH),Womens Volleyball
Carolyn Condit,.000,2015-16,0-0,Miami (OH),Womens Volleyball
Carolyn Condit,.333,2012-13,10-20,Miami (OH),Womens Volleyball
Carolyn Condit,.429,2013-14,12-16,Miami (OH),Womens Volleyball
Rick Shepas,.000,2015-16,0-0,Waynesburg,Football
Rick Shepas,.727,2014-15,8-3,Waynesburg,Football
Dave Good,.333,2014-15,6-12,Manchester,Mens Soccer
Dave Good,.222,2013-14,3-13-2,Manchester,Mens Soccer
Dave Good,.289,2012-13,5-13-1,Manchester,Mens Soccer
Dave Good,.361,2011-12,6-11-1,Manchester,Mens Soccer
Rick Shepas,.636,2013-14,7-4,Waynesburg,Football
Rick Shepas,.909,2012-13,10-1,Waynesburg,Football
Rick Shepas,.500,2011-12,5-5,Waynesburg,Football
Dave Good,.000,2015-16,0-0,Manchester,Mens Soccer
Tony Setzer,.000,2015-16,0-0,Gardner-Webb,Mens Soccer
Kevin Mounce,.219,2014-15,2-11-3,Urbana,Womens Soccer
Kevin Mounce,.000,2015-16,0-0,Urbana,Womens Soccer
Cary Fowler,.000,2015-16,0-0,Tarleton St.,Football
Kevin Mounce,.447,2011-12,6-8-5,Gardner-Webb,Womens Soccer
Kevin Mounce,.194,2012-13,3-14-1,Gardner-Webb,Womens Soccer
Kevin Mounce,.237,2013-14,4-14-1,Gardner-Webb,Womens Soccer
Cary Fowler,.545,2011-12,6-5,Tarleton St.,Football
Cary Fowler,.600,2012-13,6-4,Tarleton St.,Football
Cary Fowler,.700,2013-14,7-3,Tarleton St.,Football
Cary Fowler,.500,2014-15,5-5,Tarleton St.,Football
Michael Coll,.000,2015-16,0-0,UNCG,Womens Soccer
Michael Idland,.750,2014-15,15-5,Pitt.-Bradford,Womens Soccer
Michael Idland,.675,2013-14,13-6-1,Pitt.-Bradford,Womens Soccer
Bryan Crawford,.207,2012-13,6-23,N.M. Highlands,Womens Volleyball
Michael Idland,.000,2015-16,0-0,Pitt.-Bradford,Womens Soccer
Bryan Crawford,.379,2014-15,11-18,N.M. Highlands,Womens Volleyball
Bryan Crawford,.414,2013-14,12-17,N.M. Highlands,Womens Volleyball
Mike Hallett,.800,2011-12,8-2,Heidelberg,Football
Bryan Crawford,.000,2015-16,0-0,N.M. Highlands,Womens Volleyball
Rob King,.676,1997-98,11-5-1,Montevallo,Mens Soccer
Mike Hallett,.800,2013-14,8-2,Heidelberg,Football
Rob King,.684,1999-00,12-5-2,Montevallo,Mens Soccer
Rob King,.550,2000-01,11-9,Montevallo,Mens Soccer
Paul Krumpe,.632,2014-15,9-4-6,Loyola Marymount,Mens Soccer
Paul Krumpe,.000,2015-16,0-0,Loyola Marymount,Mens Soccer
Paul Krumpe,.440,1985-86,11-14,Macalester,Womens Basketball
Rob King,.528,1996-97,8-7-3,Montevallo,Mens Soccer
Pat Rudy,.500,2011-12,10-10,Lock Haven,Field Hockey
Carin Gabarra,.000,2015-16,0-0,Navy,Womens Soccer
Pat Rudy,.667,2013-14,14-7,Lock Haven,Field Hockey
Pat Rudy,.550,2012-13,11-9,Lock Haven,Field Hockey
Pat Rudy,.000,2015-16,0-0,Lock Haven,Field Hockey
Pat Rudy,.600,2014-15,12-8,Lock Haven,Field Hockey
Pat Rudy,.571,1992-93,8-6,SUNY Cortland,Womens Lacrosse
Pat Rudy,.647,1991-92,11-6,SUNY Cortland,Womens Lacrosse
Pat Rudy,.588,1994-95,10-7,SUNY Cortland,Womens Lacrosse
Pat Rudy,.667,1993-94,10-5,SUNY Cortland,Womens Lacrosse
Kirby Cannon,.217,1990-91,10-36,Truman,Baseball
Kevin Callahan,.455,2011-12,5-6,Monmouth,Football
Kirby Cannon,.381,1991-92,16-26,Truman,Baseball
Greg Smith,.560,1983-84,14-11,Sonoma St.,Womens Basketball
Eric Terrill,.000,2015-16,0-0,Charleston So.,Womens Soccer
Kirby Cannon,.316,1989-90,12-26,Truman,Baseball
Eric Terrill,.375,2013-14,7-12-1,Charleston So.,Womens Soccer
Eric Terrill,.289,2014-15,5-13-1,Charleston So.,Womens Soccer
Todd Ervin,.167,2011-12,3-15,Moravian,Mens Soccer
Todd Ervin,.324,2012-13,5-11-1,Moravian,Mens Soccer
Todd Ervin,.444,2013-14,7-9-2,Moravian,Mens Soccer
Todd Ervin,.361,2014-15,5-10-3,Moravian,Mens Soccer
Todd Ervin,.000,2015-16,0-0,Moravian,Mens Soccer
Todd Ervin,.235,2007-08,4-13,Cedar Crest,Womens Soccer
Todd Ervin,.062,2008-09,1-15,Cedar Crest,Womens Soccer
Mike Marks,.552,2001-02,16-13,Alvernia,Womens Volleyball
Greg Smith,.615,1982-83,16-10,Sonoma St.,Womens Basketball
Mike Marks,.385,2010-11,10-16,Albright,Womens Volleyball
Eric Terrill,.395,2012-13,7-11-1,Charleston So.,Womens Soccer
Kirby Cannon,.636,2008-09,7-4,Missouri S&T,Football
Kirby Cannon,.364,2009-10,4-7,Missouri S&T,Football
Mike Lynch,.619,2014-15,12-7-2,Belmont Abbey,Womens Soccer
Mike Lynch,.739,2013-14,15-4-4,Belmont Abbey,Womens Soccer
Mick Regan,.206,2005-06,3-13-1,Ashford,Mens Soccer
Mike Lynch,.000,2015-16,0-0,Belmont Abbey,Womens Soccer
Mike Lynch,.382,2010-11,6-10-1,Neb. Wesleyan,Mens Soccer
Mike Lynch,.500,2009-10,7-7-4,Neb. Wesleyan,Mens Soccer
Paul Hogan,.158,2011-12,2-15-2,Coastal Caro.,Womens Soccer
Mike Lynch,.619,2011-12,12-7-2,Belmont Abbey,Womens Soccer
Mick Regan,.556,2007-08,9-7-2,Ashford,Mens Soccer
Mick Regan,.306,2006-07,5-12-1,Ashford,Mens Soccer
Shaun Green,.630,2006-07,17-10,Loras,Womens Basketball
Shane Rinner,.605,2014-15,11-7-1,Haverford,Mens Soccer
Eddie Matthews,.593,1973-74,16-11,Drury,Mens Basketball
Donald Pittman,.000,2015-16,0-0,Fort Valley St.,Football
Donald Pittman,.600,2014-15,6-4,Fort Valley St.,Football
Bob Gray,.000,2015-16,0-0,Marshall,Mens Soccer
Bob Gray,.447,2014-15,7-9-3,Marshall,Mens Soccer
Donald Pittman,.400,2013-14,4-6,Fort Valley St.,Football
Donald Pittman,.200,2011-12,2-8,Fort Valley St.,Football
Bob Gray,.500,2011-12,8-8-1,Marshall,Mens Soccer
Jess Semnacher,.000,2015-16,0-0,Principia,Womens Soccer
Bob Gray,.263,2013-14,2-11-6,Marshall,Mens Soccer
Bob Gray,.676,2012-13,11-5-1,Marshall,Mens Soccer
Kevin Daniels,.371,2014-15,13-22,William Peace,Womens Volleyball
Vincent Martinez,.395,2014-15,7-11-1,Incarnate Word,Mens Soccer
Kevin Daniels,.000,2015-16,0-0,William Peace,Womens Volleyball
Sonny Travis,.556,2011-12,10-8,Emory,Mens Soccer
Colin Hodge,.000,2015-16,0-0,Dominican (NY),Mens Soccer
Sonny Travis,.667,2013-14,11-5-2,Emory,Mens Soccer
Sonny Travis,.600,2012-13,11-7-2,Emory,Mens Soccer
Colin Hodge,.632,2012-13,10-5-4,Dominican (NY),Mens Soccer
Jon Wallace,.000,2015-16,0-0,Santa Clara,Womens Volleyball
Colin Hodge,.750,2014-15,13-4-1,Dominican (NY),Mens Soccer
Colin Hodge,.625,2013-14,11-6-3,Dominican (NY),Mens Soccer
Sonny Travis,.000,2015-16,0-0,Emory,Mens Soccer
Sonny Travis,.737,2014-15,13-4-2,Emory,Mens Soccer
Orlando Cervantes,.333,2014-15,5-11-2,Lamar,Womens Soccer
Orlando Cervantes,.421,2013-14,7-10-2,Lamar,Womens Soccer
David Di Tomasso,.139,1991-92,2-15-1,LeTourneau,Mens Soccer
David Di Tomasso,.240,1990-91,5-18-2,LeTourneau,Mens Soccer
Kevin Daniels,.469,2012-13,15-17,William Peace,Womens Volleyball
Jim Clements,.545,2014-15,6-5,Kutztown,Football
Jim Clements,.636,2013-14,7-4,Delaware Valley,Football
Jim Clements,.727,2012-13,8-3,Delaware Valley,Football
Brian Zwaschka,.000,2015-16,0-0,Fresno St.,Womens Soccer
David Di Tomasso,.250,1989-90,5-15,LeTourneau,Mens Soccer
David Di Tomasso,.286,1988-89,6-15,LeTourneau,Mens Soccer
David Di Tomasso,.300,1987-88,6-14,LeTourneau,Mens Soccer
Jim Clements,.000,2015-16,0-0,Kutztown,Football
Marci Jenkins,.531,2011-12,17-15,Radford,Womens Volleyball
Gregg Miller,.353,2013-14,5-10-2,Manhattanville,Mens Soccer
Rob Keys,.000,2015-16,0-0,Findlay,Football
Ainslee Lamb,.600,2013-14,12-8,Boston College,Field Hockey
Roger Geise,.400,2014-15,4-6,Howard Payne,Football
Steve Grant,.000,2015-16,0-0,George Fox,Womens Volleyball
Eric Nichols,.000,2015-16,0-0,Bowling Green,Mens Soccer
Eddie Matthews,.000,2015-16,0-0,Methodist,Womens Volleyball
Rob Keys,.455,2014-15,5-6,Findlay,Football
Paul Hamilton,.000,2015-16,0-0,Brevard,Football
Paul Hamilton,.091,2014-15,1-10,Brevard,Football
Perry Nizzi,.433,2013-14,5-7-3,Hamilton,Mens Soccer
Paul Hamilton,.273,2011-12,3-8,Brevard,Football
John Sanchez,.139,2004-05,2-15-1,Manhattan,Womens Soccer
Paul Hamilton,.273,2013-14,3-8,Brevard,Football
Paul Hamilton,.182,2012-13,2-9,Brevard,Football
John Sanchez,.472,2001-02,8-9-1,Manhattan,Womens Soccer
John Sanchez,.250,2000-01,3-11-2,Manhattan,Womens Soccer
John Sanchez,.278,2003-04,5-13,Manhattan,Womens Soccer
John Sanchez,.417,2002-03,6-9-3,Manhattan,Womens Soccer
Kevin Daniels,.429,2011-12,15-20,William Peace,Womens Volleyball
Greg Smith,.276,2012-13,8-21,Toledo,Womens Volleyball
Vincent Martinez,.000,2015-16,0-0,Incarnate Word,Mens Soccer
Perry Nizzi,.357,2012-13,4-8-2,Hamilton,Mens Soccer
Kisha Lucette,.375,2012-13,12-20,Paine,Womens Volleyball
Misty Jones,.548,2011-12,11-9-1,Houston Baptist,Womens Soccer
Eric Nichols,.474,2013-14,6-7-6,Bowling Green,Mens Soccer
Greg Smith,.357,2011-12,10-18,Toledo,Womens Volleyball
Bob Chesney,.818,2012-13,9-2,Salve Regina,Football
Paul Cairney,.158,2011-12,3-16,UNCW,Womens Soccer
Adam Galla,.472,2013-14,8-9-1,Lakeland,Mens Soccer
Adam Galla,.184,2012-13,2-14-3,Lakeland,Mens Soccer
Shane Meridith,.000,2015-16,0-0,Earlham,Womens Soccer
Becca Main,.625,2001-02,10-6,Quinnipiac,Womens Lacrosse
Dave Brandt,.500,2011-12,7-7-5,Navy,Mens Soccer
Tony Pierce,.000,1993-94,0-10,Oberlin,Football
Tony Pierce,.111,1992-93,1-8,Oberlin,Football
Tony Pierce,.000,2015-16,0-0,Wis. Lutheran,Womens Soccer
Dave Brandt,.000,2015-16,0-0,Navy,Mens Soccer
Dave Brandt,.675,2014-15,11-4-5,Navy,Mens Soccer
Dave Brandt,.773,2013-14,16-4-2,Navy,Mens Soccer
Dave Brandt,.500,2012-13,7-7-3,Navy,Mens Soccer
Greg Smith,.034,2014-15,1-28,Toledo,Womens Volleyball
Paul Cairney,.614,2012-13,12-7-3,UNCW,Womens Soccer
Ben Briney,.000,2015-16,0-0,Truman,Womens Volleyball
Ben Briney,.879,2014-15,29-4,Truman,Womens Volleyball
Ben Briney,.588,2011-12,20-14,Truman,Womens Volleyball
Kylie Hrehor,.231,2013-14,3-10,Wells,Womens Lacrosse
Ben Briney,.657,2013-14,23-12,Truman,Womens Volleyball
Ben Briney,.794,2012-13,27-7,Truman,Womens Volleyball
Kylie Hrehor,.250,2014-15,4-12,Bethany (WV),Field Hockey
Kylie Hrehor,.200,2013-14,3-12,Wells,Field Hockey
Kylie Hrehor,.400,2012-13,6-9,Wells,Womens Lacrosse
Kylie Hrehor,.000,2015-16,0-0,Bethany (WV),Field Hockey
Madeline Hoeppner,.500,2014-15,9-9,Husson,Field Hockey
Marci Jenkins,.500,2012-13,16-16,Radford,Womens Volleyball
Becca Main,.357,1999-00,5-9,Quinnipiac,Womens Lacrosse
Becca Main,.286,1998-99,4-10,Quinnipiac,Womens Lacrosse
Keith Jenkins,.056,2011-12,1-17,William Peace,Womens Soccer
Sonnie Terrell,.000,2015-16,0-0,Mount Holyoke,Womens Volleyball
Sonnie Terrell,.154,2014-15,4-22,Mount Holyoke,Womens Volleyball
Sonnie Terrell,.393,2013-14,11-17,Mount Holyoke,Womens Volleyball
Keith Jenkins,.000,2015-16,0-0,William Peace,Womens Soccer
Keith Jenkins,.237,2014-15,4-14-1,William Peace,Womens Soccer
Keith Jenkins,.167,2013-14,2-14-2,William Peace,Womens Soccer
Keith Jenkins,.111,2012-13,2-16,William Peace,Womens Soccer
Kelly Findley,.500,2014-15,7-7-4,North Carolina St.,Mens Soccer
Kelly Findley,.000,2015-16,0-0,North Carolina St.,Mens Soccer
Valerie Prause,.000,2015-16,0-0,Lake Erie,Womens Soccer
Valerie Prause,.444,2014-15,7-9-2,Lake Erie,Womens Soccer
Rawle Hensford,.000,2015-16,0-0,Brooklyn,Mens Soccer
Kelly Findley,.400,2011-12,7-11-2,North Carolina St.,Mens Soccer
Rawle Hensford,.579,2013-14,10-7-2,Brooklyn,Mens Soccer
Rawle Hensford,.500,2014-15,9-9-1,Brooklyn,Mens Soccer
Bobby Renneisen,.711,2014-15,11-3-5,Cal St. San Marcos,Womens Soccer
Deb Zellers,.338,2001-02,12-24-,DePauw,Softball
Paul Cairney,.000,2015-16,0-0,UNCW,Womens Soccer
Marci Scheuing,.000,2015-16,0-0,Kutztown,Field Hockey
Eddie Matthews,.455,2014-15,15-18,Methodist,Womens Volleyball
Deb Zellers,.618,2000-01,23-14-,DePauw,Softball
Greg Smith,.280,1981-82,7-18,Sonoma St.,Womens Basketball
Paul Cairney,.444,2014-15,7-9-2,UNCW,Womens Soccer
Deb Zellers,.638,1999-00,25-14-,DePauw,Softball
Rachel Pinak,.192,2013-14,5-21,Becker,Womens Volleyball
Deb Zellers,.514,1998-99,19-18,DePauw,Softball
Deb Zellers,.700,1997-98,21-9,DePauw,Softball
Butch Lauffer,.763,2006-07,14-4-1,West Tex. A&M,Womens Soccer
Butch Lauffer,.618,2005-06,10-6-1,West Tex. A&M,Womens Soccer
Butch Lauffer,.786,2008-09,16-4-1,West Tex. A&M,Womens Soccer
Butch Lauffer,.643,2007-08,13-7-1,West Tex. A&M,Womens Soccer
Greg Paynter,.474,2011-12,9-10,Towson,Womens Soccer
Butch Lauffer,.773,2009-10,15-3-4,West Tex. A&M,Womens Soccer
Greg Paynter,.447,2013-14,8-10-1,Towson,Womens Soccer
Greg Paynter,.111,2012-13,1-15-2,Towson,Womens Soccer
Greg Paynter,.000,2015-16,0-0,Towson,Womens Soccer
Greg Paynter,.421,2014-15,6-9-4,Towson,Womens Soccer
Deb Zellers,.000,2015-16,0-0,DePauw,Womens Volleyball
Greg Smith,.000,2015-16,0-0,Toledo,Womens Volleyball
Lettie Wilkes,.719,2011-12,23-9,Queens (NC),Womens Volleyball
Lettie Wilkes,.647,2012-13,22-12,Queens (NC),Womens Volleyball
Adam Hildabrand,.344,2011-12,5-10-1,MCLA,Mens Soccer
Adam Hildabrand,.333,2012-13,5-10,MCLA,Mens Soccer
Kenny Jones,.231,1996-97,6-20,Virginia Union,Softball
John Trask,.000,2015-16,0-0,Wisconsin,Mens Soccer
Julian Richens,.000,2015-16,0-0,Saint Peters,Mens Soccer
Julian Richens,.222,2014-15,4-14,Saint Peters,Mens Soccer
Brent Jacquette,.222,2011-12,3-13-2,Widener,Mens Soccer
Jim Tursi,.000,2015-16,0-0,Lewis & Clark,Womens Soccer
Jim Tursi,.525,2014-15,9-8-3,Lewis & Clark,Womens Soccer
